Entity,Code,Year,$40 - total number of people above poverty line,$30-$40 - total number of people between poverty lines,$20-$30 - total number of people between poverty lines,$10-$20 - total number of people between poverty lines,$6.85-$10 - total number of people between poverty lines,$3.65-$6.85 - total number of people between poverty lines,$2.15-$3.65 - total number of people between poverty lines,$1-$2.15 - total number of people between poverty lines,$1 - total number of people below poverty line
Chile,CHL,2006,983483,655954,1518426,4981325,3326280,3612096,935580,275205,66158
Chile,CHL,2009,1153741,707324,1643055,5622399,3470973,3314298,683147,216807,74440
Chile,CHL,2011,1359211,820514,1906246,6184656,3303597,2966798,532082,121042,39438
Chile,CHL,2013,1831212,1138726,2431975,6873464,3035621,1901583,265595,68021,25314
Chile,CHL,2015,2013773,1235974,2958232,7215942,2713945,1539989,213975,51443,26083
Chile,CHL,2017,2394078,1506977,3480425,7345140,2353924,1194870,132669,32177,30175
Chile,CHL,2020,2820295,1563188,3459470,7344876,2397002,1209527,178574,64118,79159
China,CHN,1981,9939,0,0,30197,122015,3123591,79969600,432361781,478267877
China,CHN,1984,10368,0,0,62862,224766,23590382,171451965,581491249,259993408
China,CHN,1987,10840,0,0,296477,4599798,66197501,281230357,540638352,191061675
China,CHN,1990,141040,112918,337738,2073923,8813543,71578255,235221901,593348920,223556762
China,CHN,1993,137961,101967,203933,7220817,17042773,127105941,287674083,551544480,187408045
China,CHN,1996,12176,0,879226,17795247,36300481,211895419,364532972,477377315,108757164
China,CHN,1999,12527,198357,2932137,28427300,54317216,249191973,341825300,449697837,126132353
China,CHN,2002,1481265,1772020,6267503,55750669,102735780,308875367,336133010,371404730,95979656
China,CHN,2005,2397142,3515410,13052121,107317615,153597648,385057349,350432140,262831775,25518800
China,CHN,2008,7034812,7680314,25459329,169760454,194220921,395012507,287592034,215972831,21921798
China,CHN,2010,11543643,11626804,38326272,222937778,217187495,392884301,257227184,175875520,10096003
China,CHN,2011,12962792,13396507,44323978,250039966,232669603,415004972,239104473,130439674,7093035
China,CHN,2012,16054280,16870717,55470164,289406818,243943823,404549889,212884853,110252238,4757218
China,CHN,2013,19453994,22683695,72134419,333151642,271544761,428408040,176560772,37615841,1686836
China,CHN,2014,22857658,27185654,86205197,372961422,282178239,405776285,146172528,26670602,1852415
China,CHN,2015,26989902,31382861,98792829,407147807,293189058,387349725,118867870,15169193,970755
China,CHN,2016,32719241,37086388,113356281,432896563,296749633,366372595,97045276,10804793,759230
China,CHN,2017,40163909,42297925,125164135,448317741,293634223,351021847,86180800,8752646,681774
China,CHN,2018,46602435,49080259,141249444,477636493,294481111,324170314,63538728,5559289,441927
China,CHN,2019,53486936,54265690,153603377,501080857,297320382,305592601,40390126,1915057,89974
China - rural,,1981,7939,0,0,0,0,0,24830907,298645263,470451107
China - rural,,1984,8066,0,0,0,0,15962392,75448858,458024567,257174862
China - rural,,1987,8211,0,0,0,3508562,34375162,139658657,456147874,187360483
China - rural,,1990,138038,112919,337737,2073924,3701206,24593624,105138671,483034703,215888560
China - rural,,1993,134531,101967,203933,2039335,4282603,34974591,147494885,463707501,182539261
China - rural,,1996,8290,0,879226,7076198,12605697,77224140,217914235,407139093,106109863
China - rural,,1999,8160,198356,1247686,7615955,13282976,77447380,204988189,388209935,122970305
China - rural,,2002,441310,631150,1884158,11376813,19362169,102798136,219463995,338649739,93798830
China - rural,,2005,7494,876735,2835715,18177780,32692233,168753706,259025751,243312350,23670418
China - rural,,2008,1275672,1408032,4257878,26120027,43291486,181935657,223714122,205702707,20468229
China - rural,,2010,2100608,1793854,5415901,32740895,52204619,195824268,210172269,169767624,9186299
China - rural,,2011,1906526,1909644,5897975,37686301,62651035,223467073,199801891,125920707,6403219
China - rural,,2012,2577275,2466930,7590849,47206516,73578927,227539196,181358299,106744535,4131019
China - rural,,2013,1295879,3093111,10081057,71125615,114497063,265587351,140794906,33029343,1041254
China - rural,,2014,1758772,3686347,12196126,86849876,130573891,254063828,114876157,22400850,1096636
China - rural,,2015,2149721,4300171,14339509,101110730,141085351,243225969,94987442,12365229,473578
China - rural,,2016,2765296,4806825,16169196,113083375,147051952,228763014,78114349,9123111,536348
China - rural,,2017,4497006,5523934,18484202,123149910,146386821,213935775,67267268,7271169,452701
China - rural,,2018,5050088,6387461,21794083,143747058,152068834,191305546,47588881,4615527,441927
China - rural,,2019,5704188,7091175,24338880,156807102,153896805,179907758,29562371,1363892,89974
China - urban,,1981,1999,0,0,30198,122015,3123590,55138694,133716518,7816770
China - urban,,1984,2302,0,0,62862,224766,7627991,96003106,123466682,2818546
China - urban,,1987,2630,0,0,296476,1091235,31822340,141571700,84490478,3701192
China - urban,,1990,3002,0,0,0,5112336,46984631,130083230,110314217,7668202
China - urban,,1993,3430,0,0,5181481,12760170,92131351,140179197,87836981,4868783
China - urban,,1996,3886,0,0,10719049,23694784,134671279,146618737,70238222,2647301
China - urban,,1999,4368,0,1684451,20811345,41034240,171744593,136837111,61487901,3162049
China - urban,,2002,1039955,1140871,4383344,44373856,83373612,206077230,116669015,32754991,2180826
China - urban,,2005,2389649,2638674,10216406,89139835,120905415,216303644,91406388,19519425,1848382
China - urban,,2008,5759140,6272282,21201451,143640427,150929435,213076850,63877912,10270123,1453570
China - urban,,2010,9443036,9832949,32910371,190196882,164982877,197060033,47054914,6107897,909704
China - urban,,2011,11056267,11486862,38426003,212353664,170018568,191537900,39302582,4518968,689815
China - urban,,2012,13477005,14403787,47879315,242200302,170364896,177010693,31526554,3507703,626199
China - urban,,2013,18158115,19590584,62053361,262026028,157047698,162820689,35765866,4586498,645582
China - urban,,2014,21098885,23499308,74009071,286111546,151604348,151712456,31296372,4269752,755779
China - urban,,2015,24840181,27082690,84453320,306037078,152103707,144123755,23880428,2803964,497177
China - urban,,2016,29953946,32279562,97187086,319813187,149697681,137609582,18930927,1681681,222882
China - urban,,2017,35666903,36773991,106679933,325167832,147247401,137086072,18913532,1481478,229072
China - urban,,2018,41552347,42692799,119455360,333889435,142412277,132864767,15949848,943762,0
China - urban,,2019,47782749,47174514,129264497,344273755,143423577,125684843,10827755,551165,0
Colombia,COL,1992,1198126,914662,1731345,6109981,5814040,10434872,4929600,1876249,1413693
Colombia,COL,1996,1166413,673687,1431941,5682667,5316106,10135834,6154050,3361456,3154233
Colombia,COL,1999,1179647,717689,1530514,5389877,5105596,10194917,6553173,4277829,4050226
Colombia,COL,2000,1418785,888459,1646453,6415098,5681123,10404632,6241393,2884602,4049420
Colombia,COL,2001,1133932,578228,1411125,4986719,5161164,11096140,7436810,4625079,3826759
Colombia,COL,2002,1523144,870182,1949766,7333264,5627347,10932559,6843748,4348270,1447083
Colombia,COL,2003,1390006,906526,1955728,6929359,6253825,11879035,6774400,3999722,1395271
Colombia,COL,2004,1625328,875330,2122552,7202903,6119853,12002676,7075016,4007374,1044921
Colombia,COL,2005,1699311,1035067,2412297,7922943,6750305,11895079,6353044,3496131,1083554
Colombia,COL,2008,2253685,1303734,3014151,9381962,6836571,10816566,5769011,3382218,1497074
Colombia,COL,2009,2212526,1308121,3126255,9921354,7034358,11200136,5648804,3120015,1178485
Colombia,COL,2010,2562466,1500864,3416248,10326898,7256502,11111420,5301877,2796378,950046
Colombia,COL,2011,2718823,1562703,3711881,11129404,7522263,10827589,5072163,2342905,775016
Colombia,COL,2012,2741679,1691915,4004440,11685207,7625323,10595811,4637169,2263856,830321
Colombia,COL,2013,3019709,1811025,4202783,12276496,7690182,10363545,4288097,2032723,810932
Colombia,COL,2014,3246941,1940954,4613065,12662536,7863797,9936776,4152641,1842760,708236
Colombia,COL,2015,3065282,1971786,4718296,13248658,8076199,10269101,3830726,1702850,637769
Colombia,COL,2016,2987357,1844125,4642236,13752991,8399846,10349028,3832369,1703990,663106
Colombia,COL,2017,2956587,1927939,4746904,14085259,8709663,10556338,3804807,1524527,597820
Colombia,COL,2018,3146099,1994973,4837922,14207804,8622096,10779732,3838546,1578496,655388
Colombia,COL,2019,3287677,2030452,4799945,14125026,8573771,10618062,4244203,1925553,734754
Colombia,COL,2020,2677252,1590643,3911314,11795268,8408128,11782696,5211525,2966440,2539618
Colombia - urban,,1980,469691,333342,821525,2836037,2400597,3933302,2796436,2306024,1248892
Colombia - urban,,1988,656954,476739,1216223,4303823,3352891,5364049,3114013,2443396,880526
Colombia - urban,,1989,639396,462318,1182634,4265896,3433687,5794012,3441624,2586002,592701
Colombia - urban,,1991,713230,532393,1373779,4904342,3777209,5868825,3277098,2461181,705556
Comoros,COM,2004,18461,7195,11937,68825,82968,184969,135525,78380,8970
Comoros,COM,2014,4747,6574,18040,97540,111528,220815,158567,109644,31935
Congo,COG,2005,5513,7132,23680,140574,193558,614525,842574,1243086,552133
Congo,COG,2011,17935,22767,59230,239305,385389,1073486,1042826,1106438,447466
Costa Rica,CRI,1981,3738,23076,64797,299993,317297,655794,455884,380028,254986
Costa Rica,CRI,1986,28,0,0,433986,593192,978585,413197,244937,146320
Costa Rica,CRI,1989,52662,69420,179889,712369,585016,786329,332636,160302,160392
Costa Rica,CRI,1990,62016,72366,186927,799770,574661,774596,325307,166983,156810
Costa Rica,CRI,1991,48761,62714,185039,696746,562483,860870,387972,240508,156990
Costa Rica,CRI,1992,64131,59644,195177,792753,595952,883292,368837,181775,144964
Costa Rica,CRI,1993,103390,96088,264681,889736,640339,790904,299592,147534,140034
Costa Rica,CRI,1994,147473,114848,296215,992095,643280,756825,264555,130610,112928
Costa Rica,CRI,1995,116889,121441,312399,996298,684278,770847,289892,139290,114190
Costa Rica,CRI,1996,125351,117714,277596,959536,650791,862306,340453,169550,129064
Costa Rica,CRI,1997,128831,127830,319479,1034576,689840,856834,311469,148959,101134
Costa Rica,CRI,1998,182859,165189,380167,1114108,684209,826555,252083,121463,77260
Costa Rica,CRI,1999,207385,141204,349056,1069279,717451,856577,279551,162099,102826
Costa Rica,CRI,2000,196209,139382,354870,1141928,699208,845324,310983,169196,105269
Costa Rica,CRI,2001,394958,199122,468817,1167840,674122,664152,259537,127690,77836
Costa Rica,CRI,2002,407315,196160,471809,1221095,664755,708477,239581,113427,78303
Costa Rica,CRI,2003,397531,239169,537508,1235340,651994,665375,240414,127744,68978
Costa Rica,CRI,2004,342504,239356,502537,1248737,711977,764363,218643,136586,60453
Costa Rica,CRI,2005,389595,249584,510818,1333670,715047,724300,219613,106958,35919
Costa Rica,CRI,2006,419204,225799,503709,1355635,750919,731686,213426,100424,44619
Costa Rica,CRI,2007,472291,277643,555237,1478968,724810,634795,180689,55914,24279
Costa Rica,CRI,2008,511030,292421,594527,1437304,735609,636209,147988,75481,32554
Costa Rica,CRI,2009,591843,304359,633989,1431817,681428,603495,161811,70908,41089
Costa Rica,CRI,2010,649150,323325,684020,1504038,702255,527861,118554,39156,29012
Costa Rica,CRI,2011,690827,360206,702124,1472331,646112,537520,142873,58405,22688
Costa Rica,CRI,2012,747824,378294,708560,1487849,636434,523005,127589,56208,22240
Costa Rica,CRI,2013,808835,419832,662412,1509926,599134,535777,128302,56899,20994
Costa Rica,CRI,2014,764062,377301,745385,1520055,662554,522153,131695,51708,20477
Costa Rica,CRI,2015,775653,381443,750361,1593118,630411,504189,136363,53318,22949
Costa Rica,CRI,2016,810401,426825,774012,1560484,631192,497745,133186,48864,16627
Costa Rica,CRI,2017,847213,416008,783261,1624180,642976,483558,94728,43788,14243
Costa Rica,CRI,2018,833988,424879,804628,1626894,615445,495677,122653,53912,21367
Costa Rica,CRI,2019,846070,409380,790327,1630751,680981,515338,121354,37075,16285
Costa Rica,CRI,2020,702790,378491,676557,1559052,767022,707070,190262,77831,35039
Cote d'Ivoire,CIV,1985,165788,142622,442871,1829069,1828127,3137000,1556497,654282,161948
Cote d'Ivoire,CIV,1986,67790,85257,278712,1662308,1777357,3978651,2000016,445916,11261
Cote d'Ivoire,CIV,1987,71955,112855,216545,1335536,1592315,3934144,2425959,947294,61585
Cote d'Ivoire,CIV,1988,15149,67088,80187,875048,1561539,3914353,3089137,1372479,119760
Cote d'Ivoire,CIV,1992,9224,11717,80410,702851,1203017,3712521,3625883,2913453,553352
Cote d'Ivoire,CIV,1995,31583,50715,116364,891230,794727,4374018,4262503,3390074,288545
Cote d'Ivoire,CIV,1998,9838,25411,51053,887516,985200,3577193,5319504,4060829,672863
Cote d'Ivoire,CIV,2002,24857,40396,159499,822975,1254139,3989967,5931041,4182155,826510
Cote d'Ivoire,CIV,2008,20487,53566,132834,976239,1453209,4637757,5583759,5046555,1701162
Cote d'Ivoire,CIV,2015,24709,35028,163637,1013349,1574949,5738706,6907288,6153390,1615092
Cote d'Ivoire,CIV,2018,47651,66392,322432,2472021,3254891,8966807,7068986,2761322,108724
Croatia,HRV,1998,1691071,978807,1210515,602421,37394,11927,0,0,0
Croatia,HRV,1999,188530,329345,1154635,2308168,404521,105192,12117,4406,5683
Croatia,HRV,2000,387244,435816,1165689,1939222,422637,106613,7089,2182,1810
Croatia,HRV,2001,325610,379519,1055325,1902757,485397,139322,8396,2099,1217
Croatia,HRV,2004,1066530,836158,1313610,972283,94599,15151,6269,0,0
Croatia,HRV,2008,896870,807555,1308263,1152762,117072,22623,4560,0,0
Croatia,HRV,2009,919106,743164,1315921,1167995,128231,27148,2134,1482,0
Croatia,HRV,2010,552071,705259,1449115,1455182,104287,29513,0,0,0
Croatia,HRV,2011,380315,476769,1127236,1615081,361687,241457,51309,13522,13246
Croatia,HRV,2012,337332,434127,1045315,1684368,421953,257311,53549,15244,18359
Croatia,HRV,2013,282986,416148,1067500,1723940,434628,244345,55124,15925,15093
Croatia,HRV,2014,326325,494937,1103532,1642801,389177,208905,31099,21881,19732
Croatia,HRV,2015,357088,545785,1206670,1512932,336139,191899,28087,10758,14246
Croatia,HRV,2016,477417,615029,1234362,1357017,293942,144377,26491,12292,13422
Croatia,HRV,2017,532633,665052,1258175,1245555,251650,125807,24329,9305,12025
Croatia,HRV,2018,647729,713956,1283834,1141660,188585,81702,12491,8732,9154
Croatia,HRV,2019,750873,829142,1248121,990929,149314,71991,14316,2526,8041
Cyprus,CYP,2004,462541,221817,238724,81421,3201,1374,382,471,479
Cyprus,CYP,2005,521051,221500,227549,53587,2917,497,491,0,65
Cyprus,CYP,2006,602847,210084,187379,44095,645,131,137,190,0
Cyprus,CYP,2007,601449,220269,186543,54147,290,742,0,0,268
Cyprus,CYP,2008,598156,225142,204653,53164,134,227,0,0,92
Cyprus,CYP,2009,592112,241154,196893,63735,2275,621,70,228,1001
Cyprus,CYP,2010,618533,256412,178385,53205,3774,1220,680,162,246
Cyprus,CYP,2011,607836,251784,195355,63300,4641,1560,271,44,46
Cyprus,CYP,2012,545939,251472,234930,97739,4296,434,188,48,0
Cyprus,CYP,2013,485413,224981,299421,123367,7576,945,1053,859,251
Cyprus,CYP,2014,465761,228140,290070,150087,13910,2500,926,143,760
Cyprus,CYP,2015,500173,240726,271333,137906,9364,433,741,311,0
Cyprus,CYP,2016,532703,252565,266400,108913,8025,521,580,298,184
Cyprus,CYP,2017,581534,269383,223452,101842,2620,249,218,360,27
Cyprus,CYP,2018,632980,254115,223107,71780,5235,1082,767,0,196
Cyprus,CYP,2019,678030,244038,208834,59710,3882,1412,824,0,1844
Czechia,CZE,1992,206593,386843,2450757,6707513,490403,77014,0,0,0
Czechia,CZE,1993,496692,642857,2460829,6047657,630989,47907,1261,1663,0
Czechia,CZE,1996,670663,1057224,3456307,4563796,413728,127847,25676,0,0
Czechia,CZE,2002,994498,1326042,3976275,3416665,407278,76158,0,0,0
Czechia,CZE,2004,1193039,1663405,4000566,2822195,386643,128343,2910,0,0
Czechia,CZE,2005,1268123,1685987,4199472,2681950,294699,75084,5397,269,235
Czechia,CZE,2006,1551418,1995638,4037949,2269058,302552,74536,1016,6374,364
Czechia,CZE,2007,1840214,2183789,4071579,1955475,177345,51732,6757,7785,4152
Czechia,CZE,2008,1879525,2344184,4152412,1766899,190536,38291,9352,1284,2120
Czechia,CZE,2009,2066731,2473368,3890755,1721076,207509,78224,5016,1257,0
Czechia,CZE,2010,2133896,2393435,3877384,1806604,171176,79135,8991,3789,0
Czechia,CZE,2011,2093568,2525441,3787544,1814459,194552,70352,5337,2311,2524
Czechia,CZE,2012,1979123,2417083,3892044,1975607,155114,77287,11142,0,3385
Czechia,CZE,2013,1945513,2504608,3912529,1862771,214550,68367,1130,3129,1675
Czechia,CZE,2014,2114776,2557651,3922815,1664764,179150,79407,6784,0,0
Czechia,CZE,2015,2432285,2765568,3619804,1493024,188786,44254,1414,0,924
Czechia,CZE,2016,2686528,2853425,3597469,1252569,100696,67212,8433,0,0
Czechia,CZE,2017,3016060,2917807,3444548,1105994,55719,41728,12582,0,0
Czechia,CZE,2018,3399107,3078269,3133382,922535,71231,20216,4246,500,442
Czechia,CZE,2019,3847777,3090157,2867437,752049,85337,29113,0,0,0
Democratic Republic of Congo,COD,2004,0,1337,2046,67834,86602,1132995,3237392,13015130,35525533
Democratic Republic of Congo,COD,2012,13328,9461,44034,565600,1191007,6637287,12460537,27843439,20256056
Denmark,DNK,1987,2948345,1230703,692559,165860,25703,25501,12851,0,25502
Denmark,DNK,1992,2986848,1279819,646849,180417,25745,13074,13074,0,25544
Denmark,DNK,1995,3244701,1269096,588783,117847,0,0,12946,0,0
Denmark,DNK,2000,3577611,1134639,507244,106775,0,13347,0,0,0
Denmark,DNK,2003,3368819,1238323,590975,154861,15346,2366,1380,7832,10672
Denmark,DNK,2004,3537716,1150463,533935,146623,13861,4027,875,5252,11771
Denmark,DNK,2005,3623644,1090524,528918,130739,20556,9977,1263,8411,5400
Denmark,DNK,2006,3710854,1087564,481473,116670,21946,6994,4294,7477,0
Denmark,DNK,2007,3831660,1019312,450667,104837,23649,12427,18126,760,0
Denmark,DNK,2008,3848802,1028248,451751,117425,4989,22375,13812,3815,2404
Denmark,DNK,2009,3874325,966792,458378,146974,19716,21721,7862,20632,6695
Denmark,DNK,2010,4025367,919254,463476,114199,12180,5524,4505,3178,0
Denmark,DNK,2011,3946084,1010440,447357,107606,23977,35108,0,0,0
Denmark,DNK,2012,3919443,1042616,456100,99795,49084,24534,0,0,0
Denmark,DNK,2013,4002120,960625,473045,118925,24174,18585,0,3838,13620
Denmark,DNK,2014,4096226,941007,401098,135763,30641,25008,2298,4853,6581
Denmark,DNK,2015,4165631,938790,421312,123977,9783,9459,4561,0,9970
Denmark,DNK,2016,4282103,852169,436778,122570,3491,13722,1231,4230,11716
Denmark,DNK,2017,4317556,856634,442032,133177,1038,4681,1739,1827,6296
Denmark,DNK,2018,4444494,808739,417117,97372,10917,1873,3268,1461,8395
Denmark,DNK,2019,4506043,822835,359766,94288,8787,3172,4913,929,13689
Djibouti,DJI,2002,1587,2206,5950,44944,75677,230845,217322,143772,24644
Djibouti,DJI,2012,5582,5762,14283,85032,97928,293557,195039,108371,62582
Djibouti,DJI,2013,3463,5966,9870,69853,82068,289684,202222,172362,47808
Djibouti,DJI,2017,3760,4636,10976,77472,106222,327530,233377,145977,34150
Dominican Republic,DOM,1986,280221,224742,590093,1886885,1137282,1361170,663430,365530,87614
Dominican Republic,DOM,1989,109451,83919,230238,1004164,999286,1981779,1365323,1130778,92939
Dominican Republic,DOM,1992,140548,132751,371580,1553868,1320070,2174499,1150088,490505,74430
Dominican Republic,DOM,1996,291259,239027,540635,1980261,1537107,1967873,883639,392929,120036
